Name,Tag,File,File Name,Long Name
 ng tailwind,File Format,https://wentin.github.io/vscode-icons/icons/file_type_ng_tailwind.svg,file_type_ng_tailwind.svg,file type ng tailwind
 buildkite,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_buildkite.svg,folder_type_buildkite.svg,folder type buildkite
 plsql package header,File Format,https://wentin.github.io/vscode-icons/icons/file_type_plsql_package_header.svg,file_type_plsql_package_header.svg,file type plsql package header
 flow opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_flow_opened.svg,folder_type_flow_opened.svg,folder type flow opened
 systemd,File Format,https://wentin.github.io/vscode-icons/icons/file_type_systemd.svg,file_type_systemd.svg,file type systemd
 pyret,File Format,https://wentin.github.io/vscode-icons/icons/file_type_pyret.svg,file_type_pyret.svg,file type pyret
 yang,File Format,https://wentin.github.io/vscode-icons/icons/file_type_yang.svg,file_type_yang.svg,file type yang
 gulp opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_gulp_opened.svg,folder_type_gulp_opened.svg,folder type gulp opened
 macos,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_macos.svg,folder_type_macos.svg,folder type macos
 log opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_log_opened.svg,folder_type_log_opened.svg,folder type log opened
 vhdl,File Format,https://wentin.github.io/vscode-icons/icons/file_type_vhdl.svg,file_type_vhdl.svg,file type vhdl
 zip,File Format,https://wentin.github.io/vscode-icons/icons/file_type_zip.svg,file_type_zip.svg,file type zip
 light mysql,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_light_mysql.svg,folder_type_light_mysql.svg,folder type light mysql
 services opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_services_opened.svg,folder_type_services_opened.svg,folder type services opened
 api opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_api_opened.svg,folder_type_api_opened.svg,folder type api opened
 docker opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_docker_opened.svg,folder_type_docker_opened.svg,folder type docker opened
 server opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_server_opened.svg,folder_type_server_opened.svg,folder type server opened
 plsql package,File Format,https://wentin.github.io/vscode-icons/icons/file_type_plsql_package.svg,file_type_plsql_package.svg,file type plsql package
 san,File Format,https://wentin.github.io/vscode-icons/icons/file_type_san.svg,file_type_san.svg,file type san
 light gradle opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_light_gradle_opened.svg,folder_type_light_gradle_opened.svg,folder type light gradle opened
 silverstripe,File Format,https://wentin.github.io/vscode-icons/icons/file_type_silverstripe.svg,file_type_silverstripe.svg,file type silverstripe
 renovate,File Format,https://wentin.github.io/vscode-icons/icons/file_type_renovate.svg,file_type_renovate.svg,file type renovate
 rollup,File Format,https://wentin.github.io/vscode-icons/icons/file_type_rollup.svg,file_type_rollup.svg,file type rollup
 todo,File Format,https://wentin.github.io/vscode-icons/icons/file_type_todo.svg,file_type_todo.svg,file type todo
 dist,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_dist.svg,folder_type_dist.svg,folder type dist
 sqf,File Format,https://wentin.github.io/vscode-icons/icons/file_type_sqf.svg,file_type_sqf.svg,file type sqf
 api,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_api.svg,folder_type_api.svg,folder type api
 swagger,File Format,https://wentin.github.io/vscode-icons/icons/file_type_swagger.svg,file_type_swagger.svg,file type swagger
 mjml,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_mjml.svg,folder_type_mjml.svg,folder type mjml
 mjml opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_mjml_opened.svg,folder_type_mjml_opened.svg,folder type mjml opened
 nodemon,File Format,https://wentin.github.io/vscode-icons/icons/file_type_nodemon.svg,file_type_nodemon.svg,file type nodemon
 client opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_client_opened.svg,folder_type_client_opened.svg,folder type client opened
